observation_start_date,observation_end_date,county_name,cbsa_name,cbsa_type,area_id,cbsa_id,inflow,outflow,income_diff,lat,lon
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086019600,33100,41,24,-17476.4,25.638080657304119,-80.47548971545416
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086000409,33100,16,0,-26048.0,25.880427159655579,-80.216487769640963
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086001204,33100,60,0,-7904.1,25.882459938210733,-80.157607474220242
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086020200,33100,94,100,28827.5,25.613123615557679,-80.3974925430408
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086006301,33100,0,85,,25.761319444818728,-80.247055930238076
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086000413,33100,43,16,5947.8,25.903874013575429,-80.222135791854939
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086009100,33100,94,202,27856.0,25.810846028382127,-80.315536039106675
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086019200,33100,64,16,-5890.5,25.663845970565937,-80.39331064861716
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086980700,33100,36,0,40147.3,25.493571801646656,-80.391041373651419
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086003909,33100,21,0,-5940.0,25.865082038375803,-80.118542951292525
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086014900,33100,76,17,2911.9,25.752297089552421,-80.412556821208554
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086003801,33100,39,71,-14597.3,25.88131979928675,-80.139821867003
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086001703,33100,0,36,,25.804888443886554,-80.247354447898559
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086008419,33100,0,19,,25.694264645337309,-80.362853664575667
